,apca_1,apca_2,apca_3,apca_4,apca_5,apca_6,apca_7,apca_8,apca_9,apca_10,apca_11,apca_12,apca_13,apca_14,apca_15,apca_16,apca_17,apca_18,apca_19,apca_20,apca_21,apca_22,apca_23,apca_24
161_ADT,-2.157471777,-1.634326472,-1.031447256,0.315748161,1.444730279,-4.409561994,-0.734957736,-0.609758187,-0.684300055,-0.163957097,1.125472811,1.637884747,0.338963071,0.142191322,0.630513574,0.332747007,1.008364856,0.162787077,0.548564593,0.333809569,0.66234979,-0.33665052,-0.052450005,-0.26080284
162_ADT,-2.274314199,-4.044981408,-1.777201691,0.699918254,-0.61735958,0.512787335,-0.507276587,0.318476908,1.16752026,0.274018929,0.433947474,0.292007738,0.296612018,-0.36199107,0.508768492,0.606588012,-0.155716142,0.0397446,-0.101574798,0.604773143,-0.019209615,-0.57680083,-0.019905615,-0.251800216
166_ADT,-2.642537428,-1.68461072,-0.091853638,-0.2269792,1.884233982,-0.115945113,1.553701156,0.611222647,0.422901268,2.25338562,0.579746014,-1.539032679,0.430504297,0.396278036,-0.536898005,0.572187537,-0.433149127,-0.220574523,-0.514752452,0.546555426,-0.104362065,-0.147248545,-0.173408801,-0.462509489
169_ADT,-3.944798619,2.641230319,-0.590752192,-0.926748405,-0.554984396,0.397487448,-0.304137429,-0.693405229,-0.055770363,0.14132733,-0.613877123,-0.352366906,-0.295453522,0.143665204,0.157858209,-0.056325015,0.01718436,-0.071074626,0.025182365,-0.047688676,0.173763462,-0.12120363,0.280537879,-0.100365149
173_ADT,-0.404607801,-1.620112758,5.045358117,-0.628506167,-0.776562178,-2.761570106,-5.374759126,5.612618461,1.121503454,0.792715168,-0.693396664,-1.509917127,-2.863275357,1.162275415,0.979587702,0.404872451,-0.122374042,-0.664839532,-0.098967207,0.127632038,0.322934855,0.465073829,-1.05542862,-0.163026535
174_ADT,-2.67934088,1.926107753,-0.110726194,-0.682609009,0.329583092,0.514380997,0.4021787,-0.094209087,0.49876456,-0.167781078,1.094011028,-0.241787033,0.288300955,-0.225075677,-0.434778489,-0.112087944,0.40612545,-0.061995938,-0.025065734,0.035078391,-0.016161511,0.205089672,-0.334431746,0.342930608
175_ADT,-2.92133361,2.282322234,0.01734176,-0.729949145,-0.60388411,-0.128120326,-0.083429131,0.000584982,0.717530906,-0.305144812,0.011630307,-0.706229097,0.637106061,0.453677559,-0.637810088,0.667540106,0.300927202,0.069779025,-0.108945881,0.093803951,-0.095067181,-0.122374658,-0.421218871,0.154125826
177_ADT,-1.850742562,-0.835923368,4.345252065,2.625966189,1.193546623,0.948657638,0.319931246,-0.753704159,-1.023642999,0.486260208,0.071545174,0.02629592,0.395728238,1.961207194,-0.235285376,0.213772959,0.729546312,-0.052773065,-0.007308417,-0.172614781,0.059996157,-0.096394455,-0.112812766,0.225885344
179_ADT,1.951988564,-1.350214022,0.508351334,-1.438019761,-1.060868161,-0.513001222,0.76672568,-0.785282248,-0.592451058,-0.874349676,0.49442378,-0.044737687,-0.965009171,-0.049807675,-0.522085421,0.108893022,0.468983734,0.062479888,0.295815673,0.170564121,-0.534099962,-0.177881003,0.184623838,0.228846414
182_ADT,-3.842444575,3.125487599,-0.898632741,0.091208376,-0.345810072,1.118741858,0.089590678,0.40743004,0.436350192,0.23800633,1.547717176,0.948931073,0.17971372,-0.348183735,0.257557548,0.173773504,0.195455869,0.603941713,-0.231168414,0.101768213,-0.176128331,-0.57020406,0.495761823,-0.218784569
189_ADT,-3.274776788,2.465502628,-0.472932369,-0.659912312,-0.792436359,0.385970826,-0.849414456,-0.996163788,-0.353259594,-4.52E-05,0.110379915,0.344215373,-0.16272691,0.189523066,0.177566903,-0.149994905,-0.021788823,0.254535425,-0.453760228,-0.025428676,-0.200370916,0.142171252,0.067865314,0.103531951
190_ADT,2.559732473,0.450870229,-1.857565851,2.408896909,0.149598366,-0.189221297,0.284427016,1.593612485,-4.970229123,-1.32166544,1.416856112,-0.988531594,0.188327339,0.977034353,0.39089207,0.11632392,0.528411888,1.067902599,0.264032015,-0.36252281,-0.076659867,-0.015378236,-0.319344913,0.006792469
194_ADT,-2.71303146,1.004905693,-0.162838273,-0.132729588,0.427714107,0.238157585,0.107370115,0.356171078,-0.564296768,0.343287589,1.374418075,0.09847819,-0.388430274,0.247779204,0.761543481,0.411769711,0.354987149,-0.117149097,1.188312014,0.271247559,-0.086624861,-0.293753428,-0.678803105,0.938029712
195_ADT,0.501896417,0.69103087,0.070445598,0.199963621,-0.369760551,0.582569762,0.107501338,-0.302455138,0.754064803,-0.066702422,-0.166469782,0.370924567,0.47699739,-0.063372262,-0.070174852,-0.200390135,0.167246917,0.55362032,0.384465748,0.075469747,-0.550246246,0.253814935,-0.444246963,-0.702896689
203_ADT,2.978835037,2.104984775,-0.996412468,1.019411357,-0.178295962,-0.32013055,0.482445109,0.360218513,0.101265632,0.173583547,0.118291186,1.277734095,0.404292403,-0.609478875,-0.254115948,0.852134964,0.045191194,0.252023157,-0.077209905,-0.187725692,0.108554353,0.033071536,0.02254674,0.156024514
206_ADT,1.625308639,-1.150080375,0.835688555,-1.660419041,-0.320775742,-0.153779548,-0.083557266,-0.534390737,-0.111897406,-0.817532463,0.610827514,-0.068456733,0.333597208,0.055493832,-0.810224309,-0.049620611,-0.193934431,0.292325089,0.185572168,0.516475715,-0.250266547,0.189791723,-0.046643048,-0.1585233
207_ADT,-2.712192618,0.284329529,-0.231112261,-1.523303446,0.124093382,0.067704932,-0.326835189,-0.717711188,0.613681215,-0.779584111,0.245775014,-0.773798851,-0.005943026,0.23103619,0.082454243,0.501008191,0.651632143,-0.23254386,-0.139012714,0.414075068,-0.336564494,0.049414345,0.223205536,-0.239776624
209_ADT,-2.690125353,2.530572429,-0.428619986,-0.403131799,-0.756750247,0.374889931,-0.963490598,-0.708471544,0.223219292,-0.043641706,-0.320749035,0.072041385,-0.071155689,0.141873446,-0.172875311,-0.03097497,0.054642154,0.3110121,-0.465849703,-0.032641639,-0.341161476,-0.166903293,0.204964541,-0.293646534
213_ADT,-2.675434737,-3.137571722,-1.575603875,0.464937239,-1.254619948,1.446328966,0.96447915,1.196732919,0.313615499,0.723671796,-0.303845345,0.565138734,-0.0125879,-0.083061638,1.911891897,1.359999933,-1.185173507,-0.105356946,0.384816115,0.491611905,-0.042400194,-0.447416506,0.373401314,-0.365760681
214_ADT,2.20142504,-1.523080974,0.925167134,-1.544786595,-0.621587819,-0.14309029,-0.56903052,0.299554766,-1.023516874,-0.558363557,0.058643926,-0.111041476,0.088408689,0.191716152,-0.430361633,-0.451623813,0.16739855,-0.293200754,0.22117668,0.434482296,0.087127875,-0.196313739,-0.058383596,0.081053554
217_ADT,-2.194489297,-0.478653147,5.439224446,3.301036539,1.410384016,1.329942538,0.513965238,-2.402796864,-0.28166523,-0.292890129,1.130822842,-0.093066134,0.713603708,-0.447155714,0.098335128,0.500458463,0.406057472,-0.006349521,0.533483815,-0.168953851,0.209729888,0.489821805,0.021726658,-0.047702002
219_ADT,3.06122413,-1.357313019,0.588353463,-2.067264324,-0.287352946,0.330831954,0.721726884,-0.299083848,-0.180411935,-0.186674796,0.251835581,-0.108142746,-0.110582962,0.231244741,-0.388502462,-0.341929195,0.085178463,-0.29350179,-0.392517925,0.242314594,0.660071399,-0.254450176,-0.266893076,-0.377325337
220_ADT,-2.372033699,-3.897684821,-2.546897691,0.70980384,-1.10371546,-0.022400258,-0.313455969,0.288504741,-0.141548574,-1.905607185,-0.15624604,-0.97331915,0.605674966,0.486685816,1.008937168,0.543035126,-0.277349464,-0.274817325,0.45267625,-0.167236847,0.062050344,-0.278195558,-0.053811633,-0.004603457
225_ADT,3.185444119,-1.32718322,0.883458173,-2.577112763,-0.21230695,0.33337464,0.2312282,-0.372484831,0.308241529,-0.596389878,0.672335445,-0.180487946,0.309877684,-0.522583355,0.178055452,5.79E-05,0.191246349,0.261958904,0.038123976,0.287445958,0.228955398,-0.053603121,-0.023117053,-0.185245178
227_ADT,3.877151277,2.905238378,-0.865479071,2.798507003,-1.0126459,-0.191337024,0.169930998,0.710440108,0.779762083,0.466374265,0.304637236,-0.253613532,0.556524528,0.201958051,-0.131573352,-0.041740217,0.326544353,0.281621694,-0.390181002,-0.389335408,0.038138802,-0.498105139,0.147213707,0.306409822
232_ADT,-3.203674267,2.271098225,-0.632052511,-0.58904942,0.030092463,0.295959832,-0.32000674,-0.278546149,-0.300601446,0.040710249,0.514549166,-0.003864698,0.190581602,0.222695571,-0.033811703,0.524021982,0.054587039,0.212998375,-0.363337329,0.297375236,-0.06600326,-0.00040289,0.30134173,-0.052508345
238_ADT,-3.758040402,-0.335223536,-0.098186641,-0.721153076,2.961762387,-2.019070835,4.036840439,1.579599072,1.04874697,0.110033901,-0.358567489,-2.068028524,1.08974839,-0.501740443,-0.198022399,-0.261750798,0.499141849,-0.219618251,-0.106114495,-0.573687636,0.027836688,0.363259061,0.260852502,-0.658300882
243_ADT,-2.348081815,-0.091165089,-0.693078609,-0.076396934,0.821903222,-5.130395953,1.268006102,0.212795084,-0.917092393,0.820286964,-0.255127536,1.996594291,-0.893555759,-0.209709598,2.190355039,0.071240329,0.071843589,0.757582649,-0.240282886,-0.530141868,0.324319035,-0.099042297,-0.029590268,-0.116559324
245_ADT,1.998475055,-0.116891341,-0.110945688,0.113332963,0.914278154,-0.06802857,-1.027152997,-0.047185417,0.294670751,0.12986621,-0.35748155,-0.148787898,-0.776287858,0.21204307,-0.148878657,-0.24065046,-0.114173134,0.291274719,0.232909021,0.206187135,-0.156831432,-0.121762867,-0.014151547,0.15003371
252_ADT,-2.138598784,-3.690264164,-1.084074364,0.241516326,0.208863773,0.019235968,0.070776027,0.542742014,0.942143462,0.74440394,0.276982808,-0.215455837,0.033250829,0.008746813,-0.602605692,0.196661468,-0.210038592,-0.2605925,-0.47527869,-0.026196643,-0.258251943,0.57156527,-0.112819077,0.049499515
256_ADT,-1.840248058,-0.336837077,-0.086275977,-0.79377381,1.400654706,-2.35031912,-0.004029275,-1.858496546,0.698975887,0.144683713,-0.282415366,0.044672987,0.535894902,0.095765744,-0.177801142,1.433182719,0.249649808,-0.792083684,-0.346324888,-0.139491081,0.170078314,-0.425853135,-0.095571047,0.108341914
257_ADT,-0.907484371,-2.477059379,-0.346873391,0.721911214,-0.621692063,0.391653257,-0.18353066,-0.382521903,-0.28751201,0.332552763,-0.647949636,-0.079418716,-0.327452158,-0.302192001,-0.820615443,0.277860594,-1.276478018,0.401408958,0.016353813,-0.137888525,-0.374133295,0.013295968,-0.009244308,-0.054429074
258_ADT,2.751231478,1.644052465,-0.542713806,0.323882561,0.713903449,-0.190063055,-0.487360876,0.003053037,0.066130734,0.760323728,-0.014353382,0.372777484,0.202433404,0.531677063,-0.275522467,0.451204472,-0.088929732,0.354959595,0.453722564,-0.360803299,-0.090536983,0.650743369,0.55902283,0.140335685
264_ADT,-1.159940419,-3.689738649,-1.242573863,0.705888086,-0.112865013,0.242108296,-0.030682663,-0.372173801,1.004411693,-1.520589644,0.588073091,-0.388355082,0.080379302,0.690315882,0.27733468,0.484388861,-0.96666911,0.202253535,-0.643331173,-0.226046341,-0.431095532,0.596502056,0.127921321,0.174306392
268_ADT,2.683451722,1.946481813,-0.521132681,2.080393361,-0.706975568,0.034863622,0.228788808,0.997091482,-0.463500651,-0.121428203,0.338557099,0.3790392,-0.385026256,-0.585424792,-0.222087147,0.991270368,0.077203767,0.161129575,-0.053841672,-0.487619728,-0.432376963,-0.362800831,0.313011412,0.118272268
272_ADT,2.909754379,-0.961358366,0.878820771,-2.116803176,-0.836851151,-0.103766917,0.866678878,-0.765015801,0.377863886,-0.17778122,-0.129121542,0.473584865,-0.423068435,-0.487336146,-0.314568058,0.105890175,-0.189247538,-0.171875549,0.049707481,0.309057612,0.773245423,0.023968823,-0.182790069,-0.152228279
275_ADT,-3.11905976,0.327698842,0.199674214,-0.584598444,1.308935006,0.427477395,1.198282801,0.503401597,0.011306692,0.819095334,0.740838129,-0.4692207,-0.375587714,-0.051260888,0.324461755,0.272183025,0.31626742,0.225719405,-0.492816722,0.267692284,-0.2695699,-0.455171251,0.25144985,-0.151180684
277_ADT,-1.528429775,-4.219422342,-1.554836048,0.879358757,-0.145186767,0.805310052,-0.229845049,-0.206704209,0.662075011,0.53399183,0.587800079,0.371957198,-0.033453925,-0.193956805,-0.409723532,0.036243517,-0.437271001,0.060511655,-0.239555542,0.355914129,-0.64689868,0.42076842,-0.22814568,0.069844835
284_ADT,-1.097106396,-3.281886504,-1.499927752,0.394009697,-0.669817403,0.239772882,0.061684051,-0.402795652,-1.249314707,-0.092623717,-0.587749774,-0.968437656,0.409328475,0.529766651,-0.237049517,0.763737409,-0.830765882,0.763186331,-0.62232308,-0.729091445,0.095055875,-0.081878784,0.162139577,0.358821364
285_ADT,-2.33927745,0.393703469,0.222141849,-0.151704215,1.589019651,-0.045875187,0.284869866,1.452496998,0.165932886,0.524165002,0.855981029,-1.245248578,-0.213881202,0.278473858,0.423036657,1.023795553,0.343759096,-0.14229816,0.732429048,0.483415269,-0.074918935,-0.09443207,0.440503595,-0.036762804
288_ADT,3.188505488,1.963669342,-1.202164732,1.391968181,-0.432118905,-0.26870164,0.250241503,0.408514456,-1.179325155,-0.076313865,-0.52861211,0.346892617,-0.987118979,-0.090011955,-0.610526834,1.028363602,-0.012374051,-1.28688379,-0.114302664,0.691826732,0.406023029,0.051817349,-0.015562598,0.183368233
293_ADT,2.691054049,0.790889279,-0.326322282,-0.060383665,1.443387136,0.622053101,-0.012929515,0.52313217,-0.391621364,0.051064309,-0.604724153,0.199111618,-0.453232676,-0.038374933,0.496835132,-0.005213812,-0.228141004,0.615623542,0.158620405,-0.135293258,-0.313722551,0.46847547,0.145601172,-0.04223697
298_ADT,2.26633159,1.993192732,-1.22146922,1.252049318,-0.425701507,0.23087254,0.305572006,0.201206979,-0.059849489,-0.528910356,-0.092778773,0.46669218,-0.119011804,-0.429648667,-0.392996683,1.336154335,0.383496204,-0.4215044,-0.149222314,0.465736699,0.080490045,-0.030124329,-0.037644544,0.083536966
