,0,1,2,3,4,5,6,7
64_ATAC,0.418,-0.3012,0.2306,-0.1042,0.6351,0.2611,0.9395,-1.4891
65_ATAC,-0.0364,0.1522,0.0711,0.1144,0.1369,0.0522,-0.0448,-0.0586
66_ATAC,0.2081,0.1228,0.0031,0.0077,-0.0514,0.1629,-0.2509,-0.0345
67_ATAC,0.0511,-0.3931,0.1078,-0.3792,0.3299,0.2941,0.5531,-0.0564
68_ATAC,0.375,-0.0312,0.0031,0.0381,-0.255,0.1666,-0.0176,0.0514
69_ATAC,-0.0056,0.1596,0.2124,0.3078,0.3059,-0.0885,-0.2387,0.099
70_ATAC,0.196,0.225,0.086,-0.061,-0.1194,0.0127,-0.0796,-0.0061
71_ATAC,0.3872,0.1915,-0.3187,-0.1462,-0.2042,-0.0468,-0.2714,-0.1188
72_ATAC,-0.0702,-0.3516,0.2187,0.0022,0.5555,-0.0847,-0.3247,0.3066
73_ATAC,0.1969,0.1119,0.0582,-0.058,-0.0633,0.2759,-0.2406,0.0203
74_ATAC,0.0684,-0.2277,0.0356,-0.0886,-0.4806,0.4278,0.113,-0.6078
75_ATAC,0.1242,0.1338,-0.0097,-0.0288,-0.1641,0.1861,-0.0056,0.0663
76_ATAC,0.2276,0.4431,-0.0898,0.3315,0.1551,0.189,-0.0062,0.1381
77_ATAC,-0.0372,0.1104,0.1305,0.166,0.268,0.1481,-0.0057,-0.0267
78_ATAC,0.1719,-0.0799,-0.1112,0.2327,0.6626,-0.1223,0.0147,0.4871
79_ATAC,-0.035,-0.0911,-0.5055,0.2536,0.247,-0.4625,0.2658,0.2702
80_ATAC,0.1883,0.201,-0.2335,0.4267,-0.133,-0.1916,-0.1684,-0.209
81_ATAC,0.1742,0.1983,-0.2602,0.2673,-0.0661,-0.0567,-0.0778,-0.2911
82_ATAC,0.1996,0.3144,-0.0197,0.0513,-0.1208,0.0674,0.3493,0.1905
83_ATAC,0.1535,-0.3385,-0.0635,-0.0371,0.1976,-0.0827,-0.0571,0.1192
84_ATAC,0.1676,-0.5076,0.0262,-0.7517,0.1032,0.2655,-0.5474,-0.0173
85_ATAC,0.0684,0.1358,0.1949,0.3412,0.2146,-0.137,-0.2392,0.1262
86_ATAC,-0.0049,-0.2113,0.0559,-0.0514,-0.4684,0.3214,-0.0864,-0.6292
87_ATAC,0.113,0.1895,0.0292,0.186,0.1235,0.0132,-0.1192,-0.0076
88_ATAC,0.1758,0.0225,0.1157,-0.089,0.0439,-0.0245,-0.0541,-0.0507
89_ATAC,0.0815,0.1955,-0.0367,0.0474,-0.0385,0.1737,-0.2148,-0.0885
90_ATAC,-0.0806,0.0076,0.2403,0.1623,-0.3547,0.1411,0.0795,-0.1967
91_ATAC,0.1247,-0.5509,0.1268,-0.2282,-0.0037,0.1163,-0.3719,-0.2365
92_ATAC,-0.0939,-0.1031,0.0153,0.2436,-0.108,0.1878,-0.2213,-0.2595
93_ATAC,0.1878,-0.4037,-0.0087,-0.4891,0.0778,0.4028,-0.1523,-0.095
94_ATAC,0.239,-0.3192,0.0258,-0.3346,-0.0038,0.0606,0.022,-0.1845
95_ATAC,-0.1566,0.045,-0.4781,-0.3769,0.2149,0.3918,-0.0955,0.0604
96_ATAC,0.1749,-0.3422,0.1757,-0.03,0.253,0.3667,-0.3994,-0.0035
97_ATAC,-0.0302,0.1703,0.1502,-0.2894,0.0869,-0.0126,0.0669,-0.0413
98_ATAC,0.0511,-0.2173,-0.2469,-0.5177,-0.0491,-0.3944,0.519,0.2739
99_ATAC,0.1526,0.1712,-0.1167,-0.0937,-0.3296,0.099,-0.1879,0.131
100_ATAC,0.0692,0.3201,-0.1764,0.1406,0.0739,0.1617,-0.1938,0.0465
101_ATAC,0.185,-0.4729,0.3105,0.3319,-0.0698,-0.1754,0.0315,-0.0615
102_ATAC,0.2102,0.2196,0.0173,0.4681,0.4016,-0.0874,-0.1398,-0.1
103_ATAC,0.0406,0.0609,0.0759,0.2131,0.1871,0.1233,-0.0806,-0.163
104_ATAC,-0.0034,-0.1842,0.0443,-0.0715,0.1317,-0.2318,0.1935,-0.3277
105_ATAC,0.2003,0.1259,0.1196,-0.0512,-0.0989,0.2144,-0.0918,0.0488
106_ATAC,0.1749,0.0266,0.1812,-0.0925,0.0792,0.0413,-0.0072,-0.0036
107_ATAC,-0.1919,0.0561,-0.2899,-0.3889,0.2783,0.4018,-0.2226,0.0281
108_ATAC,0.0887,0.0685,0.1629,-0.0348,-0.0315,-0.0776,-0.1699,-0.0303
109_ATAC,-0.0114,0.1122,0.0714,-0.08,-0.0487,0.0206,-0.0533,-0.0567
110_ATAC,0.0935,0.3621,-0.2909,0.3799,0.0965,0.1778,-0.0935,0.1558
111_ATAC,0.0921,0.3002,-0.2754,0.3468,0.0094,0.1094,-0.0567,0.0505
112_ATAC,-0.0578,-0.3561,-0.0928,-0.4539,0.216,0.2302,-0.6618,0.3289
113_ATAC,-0.0017,0.1586,0.118,0.0819,0.2592,0.1581,0.0282,-0.0825
114_ATAC,0.0498,0.1886,0.1681,-0.1357,0.0023,-0.2445,-0.1034,0.091
115_ATAC,-0.1059,-0.0599,-0.1428,-0.3518,0.2913,0.4241,-0.1243,0.3717
116_ATAC,-0.0174,-0.1098,0.2977,0.2664,-0.3435,0.0841,0.0267,-0.187
117_ATAC,0.2375,0.1837,-0.2352,0.4458,-0.0854,-0.1744,-0.2499,-0.2279
118_ATAC,0.1119,-0.4126,-0.1104,-0.2808,0.4093,-0.2949,0.3504,-0.354
119_ATAC,-0.0761,0.2342,0.0977,0.0376,0.096,-0.1575,-0.1021,0.0299
120_ATAC,0.2206,0.142,-0.0047,-0.0993,-0.0451,0.0546,0.0951,-0.1671
121_ATAC,-0.1061,0.0694,-0.1835,-0.0804,0.1544,0.3815,-0.3208,0.5532
122_ATAC,-0.3121,-0.1484,-0.5412,0.2416,0.3145,0.026,0.4349,0.5689
123_ATAC,-0.1082,-0.1578,-0.3518,0.3059,0.5648,0.0977,-0.0059,0.4012
124_ATAC,-0.0061,0.1231,0.2411,0.3136,0.347,-0.0072,-0.1892,0.0944
125_ATAC,-0.1368,-0.1024,0.0044,-0.0891,0.0723,-0.3334,0.1888,0.0316
126_ATAC,0.0134,0.1266,0.081,0.2723,0.2428,0.0478,-0.0414,-0.0627
127_ATAC,-0.0636,0.1181,0.1958,0.152,0.277,0.1796,-0.0893,0.0095
128_ATAC,0.0168,0.356,-0.1991,0.268,-0.0491,0.0253,-0.1752,0.1097
129_ATAC,0.3038,-0.3184,-0.1514,-0.0792,0.2803,-0.0243,-0.3393,-0.038
130_ATAC,0.0964,-0.1519,-0.4381,-0.071,0.3955,0.0495,0.3852,0.1576
131_ATAC,-0.0232,-0.3775,-0.1406,-0.0553,0.1951,0.1247,0.0642,0.1145
132_ATAC,-0.4429,0.0553,0.3428,0.0356,0.1478,-0.2922,0.456,0.0311
133_ATAC,0.136,-0.3339,-0.0609,-0.0585,-0.2877,-0.4309,-0.2332,0.1598
134_ATAC,-0.0171,0.3098,-0.301,0.2962,-0.0382,0.1566,0.0371,0.231
135_ATAC,-0.1855,0.0263,0.1717,0.2646,-0.4831,0.1438,0.1419,-0.1876
136_ATAC,0.1863,0.0171,0.2046,-0.1492,0.1112,0.1108,-0.0561,-0.0023
137_ATAC,-0.0126,0.2158,-0.0206,0.0474,0.1171,-0.0423,0.0055,-0.1617
138_ATAC,0.0234,-0.082,0.0729,0.2106,0.2382,-0.005,-0.0745,0.3307
139_ATAC,-0.2147,-0.1088,-0.2004,-0.3673,0.3632,0.1451,-0.3606,0.2557
140_ATAC,-0.0174,-0.1664,-0.0223,-0.0663,-0.5152,0.3329,-0.0102,-0.5625
141_ATAC,0.0573,0.0658,0.1493,-0.0889,0.0185,0.0145,-0.0943,0.0223
142_ATAC,0.2049,-0.5827,0.168,-0.0555,0.2459,-5.33E-05,0.4095,0.2458
143_ATAC,-0.1887,-0.0406,-0.1622,-0.2604,0.0232,0.0149,0.0415,-0.1164
144_ATAC,0.0985,-0.2675,-0.0541,-0.0632,-0.2692,-0.2112,0.2006,0.3367
145_ATAC,0.3191,0.1358,0.1136,0.0253,-0.0915,0.3043,-0.0484,0.0687
146_ATAC,0.3829,0.1975,0.0688,-0.0246,0.0228,0.2488,0.2644,0.0447
147_ATAC,0.2135,-0.1773,-0.0136,-0.2369,0.3173,0.1648,-0.2981,0.3215
148_ATAC,-0.0807,-0.361,0.0538,-0.1916,0.3285,-0.2625,-0.6838,0.2725
149_ATAC,0.1332,0.1288,0.2876,-0.1073,0.0532,-0.234,-0.1861,0.1363
150_ATAC,0.0892,-0.0134,0.204,0.0107,-0.1481,0.1726,-0.1344,0.1286
151_ATAC,-0.0851,-0.3357,-0.1755,0.0338,0.1414,0.0426,0.023,-0.0666
152_ATAC,0.0303,0.1055,0.1281,0.1249,0.1975,0.224,-0.0644,-0.1124
153_ATAC,-0.1337,-0.0277,0.168,0.2205,-0.2764,0.0345,-0.0781,-0.1951
154_ATAC,0.3362,0.0889,-0.0114,-0.0478,-0.193,0.0905,0.1128,0.0362
155_ATAC,0.3745,0.1083,0.2968,-0.1012,0.1977,0.1788,0.2015,0.1136
156_ATAC,-0.0157,0.1754,0.1233,0.0912,0.1413,-0.0405,-0.148,-0.0112
157_ATAC,-0.0648,-0.3472,0.0178,-0.0146,0.1873,0.1022,0.0912,-0.0285
158_ATAC,-0.0506,0.1087,0.123,0.1938,0.3153,0.1829,-0.0433,-0.0459
159_ATAC,0.8218,0.0709,-0.1785,0.1752,0.6646,-0.1932,-0.6886,-0.7997
160_ATAC,0.0654,-0.2327,-0.0017,0.0241,0.0603,-0.0902,0.3132,-0.2297
161_ATAC,0.3664,-0.2074,-0.5054,0.0825,0.8381,-0.2745,0.2832,0.2504
162_ATAC,-0.6026,0.076,0.2407,0.151,0.2994,0.1038,0.8616,-0.2472
163_ATAC,0.1764,0.3024,-0.1543,0.5004,0.0836,0.1249,-0.2622,0.1829
164_ATAC,-0.3877,0.1152,-0.4246,-0.2437,0.3243,0.3825,-0.1641,0.4271
165_ATAC,0.0214,0.2005,0.0992,0.2206,0.1775,-0.1015,-0.1254,-0.0246
166_ATAC,0.6869,0.0111,-0.2384,0.2425,-0.1297,-0.0039,-0.2826,-0.0929
167_ATAC,0.2214,0.132,0.1113,0.2189,0.1967,-0.0495,-0.1531,-0.0435
168_ATAC,0.3573,-0.2125,-0.3427,0.2539,0.6603,-0.5143,-0.5233,0.4643
169_ATAC,0.1278,0.2516,-0.3136,0.1478,-0.0327,0.1462,-0.1748,0.0033
170_ATAC,-0.1627,-0.6268,-0.5625,-0.0702,0.4035,-0.0855,-0.0721,-0.4857
171_ATAC,0.1797,0.2133,0.051,0.0329,-0.0511,-0.033,-0.0689,-0.1637
172_ATAC,0.2393,-0.5834,0.3362,0.0477,-0.1421,0.49,-0.4413,-0.474
173_ATAC,0.3744,0.1571,0.0417,0.0147,0.0031,0.059,0.0849,-0.0127
174_ATAC,-0.079,-0.1072,-0.1103,-0.0652,0.3099,0.0677,0.1414,0.0784
175_ATAC,0.3335,0.0884,0.1472,-0.0052,0.1014,-0.1513,-0.1663,0.0065
176_ATAC,0.0133,0.1008,0.0254,0.1454,0.127,0.1851,-0.0089,-0.1609
177_ATAC,0.1022,0.2381,0.1393,0.2562,0.2216,0.0359,-0.1607,-0.0283
178_ATAC,-0.035,0.1728,-0.0408,0.0556,0.0896,0.0158,0.0395,-0.1951
179_ATAC,0.0849,0.1081,0.0356,0.1606,0.1349,0.0562,-0.0591,-0.0945
180_ATAC,0.0194,-0.228,-0.1167,-0.1142,0.0939,0.2083,-0.1023,0.0273
181_ATAC,0.7541,0.0401,-0.1311,0.0708,0.4874,-0.102,-0.5806,-0.7872
182_ATAC,0.0778,0.1333,0.0068,-0.0927,-0.039,-0.0405,-0.0089,-0.1379
183_ATAC,0.0712,0.1617,0.125,0.2611,0.1103,-0.0393,-0.1675,0.0386
184_ATAC,0.1791,0.0347,0.1296,0.1074,0.1966,0.0602,0.0033,0.0169
185_ATAC,0.2228,-0.5354,0.1125,0.0567,-0.0467,0.1238,0.0638,-0.0106
186_ATAC,-0.0446,0.3281,-0.2607,0.2144,-0.0173,0.1782,-0.076,0.1275
187_ATAC,0.1034,0.1368,0.1469,-0.1275,-0.1703,0.2984,-0.1144,0.1519
188_ATAC,0.2367,0.2371,-0.0401,-0.0468,-0.1174,0.195,0.1048,-0.1174
189_ATAC,0.2757,-0.0353,0.176,0.0388,-0.0052,0.2094,-0.0074,0.0391
190_ATAC,0.2021,0.2045,-0.1866,0.4656,-0.1493,-0.0738,-0.2494,0.1713
191_ATAC,0.3375,0.1324,0.1315,0.0778,0.0077,-0.1378,-0.191,0.0547
192_ATAC,-0.098,-0.1867,-0.0562,-0.08,-0.4442,0.5,-0.0624,-0.609
193_ATAC,0.0815,0.1743,0.0514,-0.0584,-0.0222,0.2535,-0.327,0.0457
194_ATAC,-0.1752,0.0259,0.2385,0.1927,-0.3914,0.0482,0.0647,-0.1276
195_ATAC,-0.0132,0.4133,-0.2708,0.3657,0.0054,0.0603,-0.0451,0.2458
196_ATAC,-0.1729,-0.2249,-0.0963,-0.1126,0.1084,0.1562,0.3257,-0.0172
197_ATAC,0.3857,0.1508,-0.1136,0.2419,0.0112,0.2333,-0.3548,0.2185
198_ATAC,-0.1944,-0.2698,-0.5154,-0.0047,1.0436,0.5664,-0.4963,-0.3754
199_ATAC,0.1805,-0.3616,-0.2002,-0.0873,0.1999,-0.1859,-0.0911,-0.1897
200_ATAC,0.0343,-0.5219,-0.048,0.0899,0.0709,0.0785,-0.1443,-0.267
201_ATAC,0.2435,-0.5426,0.0653,0.002,-0.1944,0.0621,-0.2014,0.0069
202_ATAC,0.0319,0.2415,0.1899,0.0472,0.239,-0.009,-0.0423,0.0033
203_ATAC,0.0515,0.0517,0.1492,0.2136,0.3057,0.2741,-0.0405,-0.0293
204_ATAC,-0.1532,0.0298,0.1788,0.1194,-0.4059,0.0555,-0.0047,-0.2495
205_ATAC,0.1391,0.1017,0.0302,-0.0646,0.0425,-0.0218,0.0111,-0.1064
206_ATAC,0.0763,0.1826,-0.2698,0.0349,0.0158,0.2636,-0.0247,0.4993
207_ATAC,0.0452,0.0355,0.2107,0.3519,0.4218,0.1103,-0.1337,0.1014
208_ATAC,-0.076,-0.0504,-0.2674,-0.1993,0.2044,0.3591,-0.3717,0.2023
209_ATAC,-0.0434,-0.039,-0.1664,-0.6087,0.2367,0.226,0.062,-0.1326
210_ATAC,0.1309,-0.3614,-0.0908,-0.1658,-0.2123,-0.3014,0.1257,0.1913
211_ATAC,-0.1327,-0.2071,-0.0746,0.057,0.2351,0.1414,0.0459,-0.0015
212_ATAC,0.1197,0.0634,0.0822,-0.1122,-0.0258,-0.008,-0.0472,-0.0988
213_ATAC,-0.0272,0.2211,0.1283,0.2691,0.2581,-0.057,-0.1352,0.0344
214_ATAC,0.0921,-0.7597,0.368,-0.0477,0.3042,0.1936,0.0329,0.4022
215_ATAC,0.1772,0.062,0.1809,-0.1125,0.0836,0.0236,-0.0684,-0.0007
216_ATAC,-0.1831,-0.063,-0.3313,-0.281,0.1776,0.3903,-0.181,0.1314
217_ATAC,0.0656,0.1634,0.1047,-0.0804,-0.2511,0.0973,-0.3583,0.1783
218_ATAC,-0.0674,-0.293,-0.1882,-0.3329,-0.0531,0.4513,-0.3733,-0.0667
219_ATAC,-0.0541,0.2072,0.0019,0.011,0.0464,0.06,-0.008,-0.1453
220_ATAC,0.0025,0.3226,-0.2729,0.1838,-0.034,0.0709,-0.0703,0.068
221_ATAC,0.2173,-0.3128,-0.2288,-0.2687,-0.0511,-0.3029,0.4958,0.1477
222_ATAC,-0.0806,0.0277,-0.2692,-0.1981,-0.0309,-0.3135,-0.0166,-0.0203
223_ATAC,0.1239,-0.0591,-0.096,-0.1563,0.2106,0.1086,-0.0968,0.1866
224_ATAC,-0.0574,-0.1383,-0.0735,0.0054,0.1958,0.1676,0.385,0.1952
225_ATAC,-0.0945,-0.6085,0.0819,-0.0435,-0.0052,0.3062,0.0279,-0.3028
226_ATAC,0.1789,0.1855,0.0435,-0.0458,-0.1135,0.1461,0.0734,-0.0065
