,0,1,2,3,4,5,6,7
64_RNA,0.3874,0.6183,-0.5646,0.7764,-0.7078,-0.0325,0.011,1.0725
65_RNA,0.5317,0.0981,0.0006,0.1199,0.0109,-0.228,-0.2205,-0.1183
66_RNA,0.59,0.1381,0.3047,0.0268,-0.0393,-0.6302,-0.086,-0.0211
67_RNA,-0.9622,-0.3337,0.0948,0.0613,0.2757,0.7547,0.696,0.5857
68_RNA,0.5336,0.0401,-0.2597,-0.0142,0.005,-0.6352,-0.3361,-0.0248
69_RNA,0.8049,0.0722,-0.0043,0.1412,0.0046,-0.3827,-0.3382,-0.3364
70_RNA,0.479,0.3459,-0.0364,0.1413,0.0863,-0.6091,-0.3782,-0.149
71_RNA,0.4216,-0.1639,0.1193,0.026,-0.8068,-0.5727,0.122,-0.1215
72_RNA,-0.3952,-0.7458,0.094,-0.3086,0.3111,0.5617,0.468,0.5352
73_RNA,0.27,0.2329,0.1178,0.2712,-0.2054,-0.5831,-0.0443,-0.2597
74_RNA,-0.0043,-0.409,0.3658,0.491,-0.919,0.1395,-0.2626,1.0869
75_RNA,0.34,0.2199,-0.0872,0.0648,-0.0835,-0.5233,-0.1902,-0.1601
76_RNA,0.4752,-0.0582,0.2968,-0.3694,-0.0924,-0.4364,0.0965,-0.1638
77_RNA,0.6839,0.2338,0.0731,0.2572,-0.0427,-0.1944,-0.2281,-0.2076
78_RNA,-0.2131,-0.1883,0.0617,0.0707,0.3244,0.159,0.3731,0.3102
79_RNA,-0.5763,-0.6151,-0.0406,0.0249,0.5487,0.7247,0.6133,0.6427
80_RNA,0.0176,-0.2519,0.3139,0.0258,-0.13,-0.1537,0.0174,-0.4488
81_RNA,0.3132,-0.4123,0.368,-0.3456,-0.115,-0.1376,0.0138,-0.4247
82_RNA,0.6679,0.4632,0.059,-0.592,-0.311,-0.6369,-0.3721,-0.803
83_RNA,-1.03,-0.3912,0.0039,-0.2033,0.3919,0.7121,0.8141,0.7514
84_RNA,-0.2074,-0.5027,-0.1213,-0.3678,-0.169,0.9588,0.3558,0.2788
85_RNA,1.0977,0.0196,0.0414,0.2559,-0.0588,-0.583,-0.4016,-0.493
86_RNA,0.072,-0.2294,0.4676,0.6779,-0.6209,0.177,-0.5106,0.8511
87_RNA,1.0414,0.2873,0.8056,0.4523,-0.2425,-0.6667,-0.3321,-0.527
88_RNA,0.3666,0.2741,0.0033,0.2423,0.074,-0.3114,-0.3265,-0.1964
89_RNA,0.6198,-0.057,0.1839,-0.0935,0.0489,-0.4898,0.0339,-0.1682
90_RNA,-0.2398,-0.6421,0.4434,0.0399,-0.3205,-0.0452,-0.7016,0.6141
91_RNA,-0.3822,-0.5259,0.0992,-0.4022,0.0147,0.5999,0.411,0.5357
92_RNA,0.2904,-0.1662,0.6052,0.2456,-0.0504,0.0051,-0.3944,0.5322
93_RNA,-0.3331,-0.4591,-0.1773,-0.1499,0.1121,0.6634,0.2922,0.2956
94_RNA,-0.215,-0.4487,0.0785,-0.177,0.0648,0.6331,0.2721,0.3594
95_RNA,-0.1093,-0.4736,-0.1224,-0.2345,-0.1733,0.8323,0.1838,-0.0119
96_RNA,-0.2293,-0.2276,-0.1186,-0.2541,-0.0927,0.3474,0.3417,0.2471
97_RNA,0.2496,0.2582,0.1427,0.2551,0.0225,-0.1944,-0.2194,-0.2267
98_RNA,-0.6235,-0.1818,0.2055,-0.0567,0.2964,0.9268,0.8023,0.3485
99_RNA,0.2045,0.1921,-0.0553,0.1044,-0.1705,-0.5074,-0.0326,-0.1741
100_RNA,0.3237,-0.0806,0.235,-0.2904,-0.1637,-0.2702,0.2355,-0.0131
101_RNA,-0.6305,-0.7001,-0.0109,0.0091,0.3665,0.5057,0.5292,0.7221
102_RNA,1.1321,0.3046,0.3863,0.4595,-0.1578,-0.4538,-0.5636,-0.7512
103_RNA,0.6116,0.0616,-0.0507,0.2093,-0.0436,-0.4428,-0.1124,-0.3842
104_RNA,-0.3995,-0.7883,0.0255,-0.1925,0.8752,0.5966,0.851,0.6204
105_RNA,0.5804,0.3129,0.3546,0.1641,-0.1063,-0.7593,-0.2219,-0.1595
106_RNA,0.306,0.3825,0.1212,0.2981,0.139,-0.3657,-0.6117,-0.2658
107_RNA,-0.1546,-0.3779,-0.3132,-0.365,-0.338,1.0923,0.3448,-0.0358
108_RNA,0.4971,0.1851,-0.0256,0.4219,0.0278,-0.7185,-0.3338,-0.7461
109_RNA,0.553,0.3991,-0.029,0.4818,0.1499,-0.5471,-0.3057,-0.5739
110_RNA,0.4889,-0.3151,0.4486,-0.4365,-0.0159,-0.3874,0.0822,-0.4046
111_RNA,0.3385,-0.0756,0.4819,-0.3264,-0.0482,-0.3567,0.1256,-0.4308
112_RNA,-0.3345,-0.4004,-0.1292,-0.1676,-0.1392,0.9881,0.1543,0.1137
113_RNA,0.5372,0.206,-0.0235,0.2651,-0.025,-0.2949,-0.1683,-0.2262
114_RNA,0.557,0.0429,-0.2543,0.1393,0.2134,-0.6238,-0.298,-0.4917
115_RNA,0.0499,-0.2316,-0.2209,-0.2466,-0.0607,0.5502,0.229,-0.1527
116_RNA,-0.1783,-0.6865,0.2461,0.1818,-0.1534,0.0331,-0.7366,0.3212
117_RNA,0.4737,-0.6552,0.3736,-0.3968,-0.3177,-0.2311,-0.0031,-0.6235
118_RNA,-0.7779,-0.3509,0.2603,-0.1677,0.1625,0.4854,0.3607,0.6592
119_RNA,0.8185,0.179,0.0849,0.2969,0.1063,-0.3359,-0.3934,-0.3826
120_RNA,0.2226,0.1857,0.2134,0.3444,0.0393,-0.6186,-0.8406,-0.3033
121_RNA,-0.1633,-0.1689,-0.1549,-0.0123,-0.0019,0.2763,-0.1563,0.0065
122_RNA,-0.7105,-0.5231,0.2266,0.4234,0.2959,0.9877,0.7165,0.4051
